Maciej Zworski	University of California, Berkeley	Spectral theory / resonances	The certified (G_5) pins give a concrete, rigorous non-arithmetic resonance test case for the general microlocal theory of resonances.	A
Semyon Dyatlov	MIT	Spectral theory / resonances / quantum chaos	The result supplies explicit off-line resonances on a hyperbolic surface, complementing his work on resonance gaps, fractal uncertainty, and chaotic scattering.	A
Stéphane Nonnenmacher	Université Paris-Saclay	Quantum chaos / resonances	Two interval-certified scattering resonances are unusually sharp data for comparing rigorous resonance theory with quantum-chaotic expectations.	A
David Borthwick	Emory University	Hyperbolic surfaces / resonances / computation	His foundational work on spectral theory and numerical resonances of infinite-area hyperbolic surfaces makes the first rigorous (G_5) localization directly relevant.	A
Frédéric Naud	Avignon Université	Transfer operators / resonances	The proof's transfer-operator determinant and certified contours intersect directly with his work on resonances and dynamical zeta functions.	A
Colin Guillarmou	Université Paris-Saclay	Scattering / hyperbolic geometry	The (G_5) example gives explicit scattering-divisor data and a rigidity countermodel within the analytic framework he studies geometrically.	A
Anke Pohl	University of Bremen	Hecke triangle groups / transfer operators	Her transfer-operator models for Hecke triangle groups make both the certified (G_5) resonances and their scattering interpretation central to her program.	A
Fredrik Strömberg	Uppsala University	Maass forms / Hecke triangle groups / computation	As a specialist in computational Maass forms and Hecke triangle groups, he is a natural evaluator of the certified two-pin calculation.	A
Roelof Bruggeman	Utrecht University	Maass forms / automorphic spectral theory	The result bears on the analytic and scattering theory of automorphic forms for non-arithmetic Fuchsian groups central to his work.	A
Dennis Hejhal	University of Minnesota	Selberg zeta / Maass forms / Hejhal tradition	The construction uses Hejhal-type scattering data and turns the arithmetic/non-arithmetic contrast in his spectral framework into a certified example.	A
Peter Sarnak	Institute for Advanced Study / Princeton University	Arithmetic quantum chaos / survey rows 1, 8, 12	The metatheorem rigorously sharpens his long-standing distinction between generic spectral structure and essential arithmetic input.	A
Steven J. Patterson	University of Göttingen	Fuchsian groups / Selberg zeta	The certified (G_5) divisor is directly connected to his work on Selberg zeta functions, scattering, and noncompact hyperbolic surfaces.	A
Peter A. Perry	University of Kentucky	Scattering / hyperbolic surfaces	Explicit resonance localization for a non-arithmetic surface provides a concrete counterpart to his analytic scattering and resonance results.	A
Richard Sharp	University of Warwick	Dynamical zeta functions / hyperbolic dynamics	The determinant certificates and Selberg-zeta zeros connect to his work on orbit counting and zeta functions for hyperbolic systems.	A
Mark Pollicott	University of Warwick	Transfer operators / dynamical zeta functions	The computer-assisted transfer-operator argument offers a rigorous computational instance of the thermodynamic formalism he develops.	A
Caroline Series	University of Warwick	Fuchsian groups / hyperbolic dynamics	The (G_5) geometry and symbolic dynamics sit squarely in her work on Fuchsian groups, continued fractions, and hyperbolic surfaces.	A
Jens Marklof	University of Bristol	Quantum chaos / automorphic dynamics	The example separates universal spectral mechanisms from arithmetic rigidity, a central distinction in his quantum-chaos work.	A
Dmitry Jakobson	McGill University	Spectral geometry / quantum chaos	Certified non-arithmetic scattering resonances provide a concrete spectral-geometric example outside the arithmetic quantum-chaos setting.	A
Dubi Kelmer	Boston College	Hyperbolic manifolds / automorphic spectrum	The arithmetic versus non-arithmetic spectral contrast and explicit (G_5) scattering data are directly relevant to his work on hyperbolic quotients.	A
