target_id,recruitment_pool,target_role,workflow_evidence,first_screening_question,public_source,status
T01,AWS SageMaker AI user organization,Model evaluation lead,"SageMaker supports human model-evaluation jobs with private workforces and job progress","Do you make release or escalation decisions before every assigned item is judged?",https://docs.aws.amazon.com/sagemaker/latest/dg/clarify-foundation-model-evaluate-human.html,uncontacted hypothesis
T02,AWS SageMaker AI user organization,ML platform owner,"Human evaluation jobs expose job status and report cards","Can a running evaluation be paused or interpreted before completion?",https://docs.aws.amazon.com/sagemaker/latest/dg/clarify-foundation-model-evaluate-human.html,uncontacted hypothesis
T03,AWS SageMaker AI user organization,Human evaluation operations manager,"Private work teams perform per-item evaluation tasks","What does one additional human judgment cost and how is work queued?",https://docs.aws.amazon.com/sagemaker/latest/dg/clarify-foundation-model-evaluate-human.html,uncontacted hypothesis
T04,AWS SageMaker AI user organization,Responsible AI or model-risk lead,"Human evaluation produces metric-level report cards","Does early slice imbalance affect an approval or risk decision?",https://docs.aws.amazon.com/sagemaker/latest/dg/clarify-foundation-model-evaluate-human.html,uncontacted hypothesis
T05,NVIDIA NeMo user organization,Evaluation infrastructure lead,"NeMo runs durable evaluation jobs over fixed datasets and supports sample limits","Are samples processed in a controllable order and are partial results inspected?",https://docs.nvidia.com/nemo-platform/documentation/evaluate-models,uncontacted hypothesis
T06,NVIDIA NeMo user organization,LLM benchmark engineer,"NeMo provides benchmark suites and per-problem evaluation records","Do you stop or gate a run before the full suite completes?",https://docs.nvidia.com/nemo/evaluator,uncontacted hypothesis
T07,NVIDIA NeMo user organization,Agent evaluation lead,"Agent evaluation scores heterogeneous tasks and trajectories","Which pre-outcome task attributes could define stable strata?",https://docs.nvidia.com/nemo-platform/documentation/evaluate-models/agent-eval,uncontacted hypothesis
T08,NVIDIA NeMo user organization,ML release engineering owner,"NeMo supports regression tracking and suite-level quality gates","Would a representative prefix change when a release gate can be trusted?",https://docs.nvidia.com/nemo/evaluator,uncontacted hypothesis
T09,Humanloop user organization,Evaluation program owner,"Humanloop runs offline evaluations over datasets using code AI or human evaluators","Is human review completed as a queue and can its order be controlled?",https://humanloop.com/docs/v4/evaluators,uncontacted hypothesis
T10,Humanloop user organization,Subject-matter-expert review manager,"Human Evaluators collect SME judgments on prompt logs","What is the cost and delay of reviewing the full batch?",https://humanloop.com/docs/guides/evals/human-evaluators,uncontacted hypothesis
T11,Humanloop user organization,LLM product quality lead,"Human feedback is collected row by row in batch evaluation runs","Is any product decision made while rows are still unreviewed?",https://humanloop.com/docs/v4/guides/evaluation/evaluating-with-human-feedback,uncontacted hypothesis
T12,Humanloop user organization,AI assurance or governance lead,"Evaluation combines human code and AI judgments over versioned datasets","Would replayable queue evidence affect an approval or audit?",https://humanloop.com/docs/v4/evaluators,uncontacted hypothesis
T13,MLCommons reliability community,AI reliability working-group participant,"The reliability group develops evidence and maturity practices for agentic systems","Do members operate costly interruptible evaluation workflows suitable for a blinded audit?",https://mlcommons.org/wp-content/uploads/2025/12/ReleaseVersion.pdf,uncontacted hypothesis
T14,MLCommons benchmark community,Benchmark operations lead,"MLCommons organizes industry benchmark and reliability work","Are benchmark tasks processed incrementally and used for early decisions?",https://mlcommons.org/,uncontacted hypothesis
T15,MLCommons member organization,Model assurance or evaluation budget owner,"Member organizations participate in shared evaluation and reliability efforts","Who owns budget for measuring whether partial evaluation results are representative?",https://mlcommons.org/,uncontacted hypothesis
